keys,ja
KEY_VIEW_ITEM_19__50F,"[br][C_IS]……………….[/C][br][C_IR]그래도 꼭 모험을 계속하고 싶다면[br]말리지 않겠습니다. 협력할게요.[br]던전은 위험천만하지만,[br]두근거리는 일도 아주 많았거든요![/C][br]\n[C_IR]……함께 모험합시다![/C]"
KEY_VIEW_ITEM_19__50G,"[br][C_IS]……훌륭합니다. 정말 훌륭해요![br]왠지 저도 기운을 얻은 것 같네요![/C][br][C_IR]아니, 왜 그러세요(웃음).[/C][br][C_IS]하하…… 오늘은 정말 감사했습니다![br]이런 식으로 불러내서 죄송했습니다만,[br]실은 [b]맛있는 식사도 제대로 준비해 두었습니다![/b][/C][br][C_IR][b]!!!?? 뭐야 이거!? 대박이다──!![/b][/C]"
KEY_VIEW_ITEM_19__50H,"[br][C_IS]그럼 다시 한번──[br]『S랭크』 승격을 축하드립니다![br]멋진 식사를 즐겨주세요! 즐거운 여행 되시길![/C][br][C_IR][b]우오오오오 기다리고 있었어어어어어어어!!![/b][/C][br][C_IS]즐거운 여행 되시길![/C][br][C_IR]……앗, 저기…… 「즐거운 여행 되시길」? [/C][br]"
KEY_VIEW_ITEM_19_RNK1,"[center][b]『[I_BRAVE__]』, 이곳에 재탄생![/b][/center]\n[br]400일 이상이나 봉쇄되어 있었던[br]난공불락의 [b]『[I_BRAVE__] 던전』[/b]을[br]단 3일 만에 공략한 파티가 나타났다![br]\n해당 파티의 리더 『[N_AKIRA__]』는[br]3명의 동료──[b]마도사[/b], [b]도적 개인[/b], [b]사냥꾼[/b]을 데리고[br][b]누구 한 명 낙오되는 일 없이 최심부까지[br]무사히 도달했다[/b]고 한다.[br](당연히 그 마물도 토벌한 상태이다)[br]\n현 길드 최강 파티인 『[N_PAKIRA_]단』조차[br]포기하고 철수했던 A랭크 이상의 던전──[br]그곳을 가볍게 공략한 이례적인 파티의 보고를[br]엄중히 받아들여, 길드는 새로운 랭크──[br][C_R][b]『S(Special) 랭크』[/b][/C]를 신설하고,[br]파티의 리더 『[N_AKIRA__]』를[br]2대 『[I_BRAVE__]』로 인정하기로 결정했다."
KEY_TALK_EVE__001_001,"……길드 사람, 뛰어가 버렸네."
KEY_TALK_EVE__001_002,"근데 말이야, 결국 받기로 했나 봐.[br]방금 그 [shake][C_R][b]말도 안 되는 의뢰[/b][/C][/shake]."
KEY_TALK_EVE__001_003,"아까 그 신입, 길드 탓을 하긴 했지만[br][C_R][b]『기록』을 잃어버린[/b][/C] 그 사람이 100% 잘못한 건데……[br]아저씨는 참 오지랖도 넓다니까."
KEY_TALK_EVE__001_004,"「뭐 어때, 젊어서 패기 있고 좋은데」"
KEY_TALK_EVE__001_005,"……뭐, 아저씨 다리가 다 나아서[br]다시 같이 [b]『기록의 여행』[/b]을 할 수 있다면,[br]나도 그걸로 됐지만 말이야."
KEY_TALK_EVE__001_006,"일부러 도와주는 걸 보면,[br]아저씨는 길드에 대해서[br]꽤 잘 알고 있는 거야?"
KEY_TALK_EVE__001_007,"「아니, 길드엔 관심 없어」"
KEY_TALK_EVE__001_008,"아저씨는 [C_R][b]『기록』을 모으는 것[/b][/C]만이[br]유일한 낙이니까 말이지─."
KEY_TALK_EVE__001_009,"나는 조금은 알고 있지만,[br][C_R]『최근 일어난 일』까지는 잘 몰라[/C]."
KEY_TALK_EVE__001_010,"「그럼, 『자료실』에 있는 [b][C_GL]『기록』[/C][/b]을 훑어봐야겠군」"
KEY_TALK_EVE__001_011,"응! 아저씨 대신에[br]내가 가져다줄 테니까──"
KEY_TALK_EVE__001_012,"가져왔으면 하는 『기록』이 있으면,[br][C_R][b]글자로 써서[/b][/C] 알려줘!"
KEY_TALK_EVE__002_000,"앗, 왔다!"
KEY_TALK_EVE__002_001,"받아왔어─."
KEY_TALK_EVE__002_002,"파티가 [C_R][b]20팀[/b][/C] 정도[br]있다고 하더라고."
KEY_TALK_EVE__002_003,"「……처음 듣는 얘긴데」"
KEY_TALK_EVE__002_004,"「78명의 명단을 넘긴 시점에서 숫자가 많다고[br]생각하는 건 아주 자연스러운……」[br]어쩌고 하면서 말이야."
KEY_TALK_EVE__002_005,"「…………」"
KEY_TALK_EVE__002_006,"이것저것 종이를 많이 받았으니까[br]또 중요한 게 적혀 있을지도 몰라."
KEY_TALK_EVE__002_007,"……나, 아직「글자」는 못 읽어서[br]그냥「기호」처럼 기억하는 것뿐이라……"
KEY_TALK_EVE__002_008,"「아니, 자료실에 있는 방대한 [C_GL]『기록』 전부[/C]를──」"
KEY_TALK_EVE__002_009,"「[C_GL]기호로 기억할 수 있다[/C]는 건 충분히 대단한 거야」"
KEY_TALK_EVE__002_010,"에헤헤…… 그래도 역시[br]뭐라고 써 있는지 읽을 수가 없어서……"
KEY_TALK_EVE__002_011,"자세한 건 전부 아저씨한테 맡길게!"
KEY_VIEW_ITEM_DEMO__1,"[center][b]체험판은 여기까지![/b][/center]\n[br]여기까지 플레이해 주셔서 감사합니다![br]본편에서는 남은[C_R][b]19팀[/b]의 파티[/C]와, [br][C_R][b]74명[/b]의 모험가[/C]를 특정할 수 있습니다. [br]\n이 체험판은 [b]본편의 튜토리얼 부분[/b]이므로[br]여기서부터는『파티 특정』『기록 모으기』모두[br][C_R][b]조금만[/b] 난이도가 올라갑니다. [/C][br]\n물론 정보를 정리하면 풀 수 있는 내용이니, [br]그 점은 안심해 주세요. (일단 총맞추기도 가능)[br]\n또한 체험판에서는 본편의 스포일러를 막기 위해, [br][C_R][b]히트하는『기록』을 최소한으로 줄여 두었습니다. [/b][/C][br]남은 기록은 꼭 본편에서 즐겨 주세요![br]\n[i]Thank you for playing!![/i]"
SYSTEM_TUTORIA_NOSMOK2,"모든 정보를 정확히 채우는 순간,「DAY 1000」이 [color=green][b]자동으로[/b][/color] 날인된다. \n\n정보를 채운 것 같은데도 날인되지 않았다면, [color=red][b]어딘가에 오류가 있을[/b][/color] 가능성이 높다. \n[left][ul]모험가의 [color=green]『직업』[/color] 등, [color=orange][b]선택 누락[/b][/color]이 없는지 확인한다. [/ul][ul]혹시 [color=orange][b]선입견[/b] 만으로 추측한 부분[/color]이 있다면, 그 [color=green][b]근거[/b]를『적혀 있는 정보』[/color]에서 찾아본다. [/ul][/left]\n이미 읽은『기록』을 [color=orange]다시 읽어보면[/color], [color=green][b]의외의 정보[/b]가 적혀 있을[/color] 가능성이 있다. 신중히 다시 점검하자."
PARTYNAME_01_____,"길드 탐구단"
PARTYNAME_02_____,"파키라단"
PARTYNAME_03_____,"스이센 영웅단"
PARTYNAME_04_____,"본가・마도사단"
PARTYNAME_05_____,"쉬워! 무쌍! 무적의 츠바사단!"
PARTYNAME_06_____,"마티스 도적단"
PARTYNAME_07_____,"호걸의 기사단"
PARTYNAME_08_____,"고고한 광견"
PARTYNAME_09_____,"무기구사 도적단"
PARTYNAME_10_____,"고고한 용사라 불린 남자"
PARTYNAME_11_____,"듀얼・러브"
PARTYNAME_12_____,"고고한 버서커"
PARTYNAME_13_____,"인연의 4중주"
PARTYNAME_14_____,"긍지 높은 여걸단"
PARTYNAME_15_____,"정의의 무라우즈"
PARTYNAME_16_____,"호오즈키 미래단"
PARTYNAME_17_____,"일해라! 내 시종들아!"
PARTYNAME_18_____,"오넷 영웅단"
PARTYNAME_20_____,"스타릴리와 유쾌한 동료들"
KEY_WORD_CARD_SPEED__,"속공"
KEY_TALK_CARD_SPEED__,"『[INC_SMN__]』하지 않는 모험가래."
KEY_WORD_CARD_SUMMON_,"소환 멀미"
KEY_TALK_CARD_SUMMON_,"『[INC_SPEED]』이 없으면 곤란한 녀석이지."
KEY_WORD_CARD_CAUTION,"경계"
KEY_TALK_CARD_CAUTION,"『[INC_TAP__]』하지 않고[br]공격할 수 있대. 강하네."
KEY_WORD_CARD_TAP____,"탭"
KEY_TALK_CARD_TAP____,"『[INC_CAUTI]』에는 통하지 않는 것 같아."
KEY_WORD_CARD_COUNTER,"길드 카운터"
KEY_TALK_CARD_COUNTER,"5개 모으면 특수 승리래."
KEY_NAME_FENNEL__TALK,"[NNPAKIRA_]라는 사람이랑 어깨를 나란히 하는[br]아주 강한 B랭크 사람이라던가?"
KEY_NAME_KILLING_TALK,"유감스러운 꽃미남이라는 소문은[br]들어본 적 있어."
KEY_NAME_SAGE__2_TALK,"최연소로 [C_R]B랭크 리더[/C]가 된[br]남자아이 아니었어?"
KEY_NAME_SAGE____TALK,"그런 이야기는, 별로[br]하지 않는 게 좋다던데."
KEY_NAME_HOOZUKI_TALK,"꽃말은「마음의 평안」「속임수」."
KEY_NAME_RARE____TALK,"엄청 강하다며?[br]A랭크라던데!"
KEY_NAME_RANTHUS_TALK,"아이를 울게 하는 좀비라던데. [br]……아, 응. 가까이 안 갈게."
KEY_NAME_NAGI____TALK,"『[INC_SPEED]』을 잘하는 아이지. [br]……「[INCARD___]」에서."
KEY_NAME_CHII____TALK,"특수 승리만 노리는 아이지. [br]잘은 모르겠지만."
KEY_NAME_ARI_____TALK,"요즘 못 만났네……그러고 보니 뭔가[br]카드 빌려준다고 했어서 나는[br]관심 없지만 모처럼이니 아저씨도 보러 갈래?"
KEY_NAME_UZU_____TALK,"근질근질……[br](쓰다듬어 주길 바라는 표정)"
KEY_NAME_DAISY___TALK,"꽃말은「소녀의 천진함」."
KEY_NAME_MUGI____TALK,"동쪽 마을에서 태어난 도적단 사람이잖아. [br]몸이 유연하고『회피』를 잘해서[br]앞에 나서서 싸웠다던데……운에 맡긴 걸까?"
KEY_NAME_SUISEN__TALK,"뭔가, [C_R][b]지명수배됐었지[/b][/C]?"
KEY_NAME_KUROYUR_TALK,"꽃말은「복수」."
KEY_NAME_MATSU___TALK,"뭔가, 들어본 것도 같고[br]아닌 것도 같고……?"
KEY_NAME_TOPY____TALK,"『[INPARTYS_]』인터뷰를[br]하는 사람이잖아."
KEY_NAME_MATISSE_TALK,"던전 이름이었지?"
KEY_VIEW_ITEM_START_1,"[center][b]추가 정보 1「모험가와 직업」[/b][/center]\n[br]남은『기록지』가 준비되어 송부한다. [br][b][C_R]이 20장의『기록지』를 전부 채우는 것이, [br]이번 의뢰의『최종 목표』가 된다. [/C][/b][br]\n등록된 모험가는, [b][C_R]총 78명[/C][/b]. \n - 전사　　:19명 (근접 무기를 통한 전투에 능함)\n - 마도사　:18명 (공격 마법 전투에 능함)\n - 성직자　:12명 (치유・지원 마법에 능함)\n - 도적　　:10명 (시야가 넓고, 정찰에 능함)\n - 요리사　: 7명 (물자 관리와 조리를 담당)\n - 사냥꾼　: 5명 (활 등 원거리 전투에 능함)\n - 현자　　: 2명 (상급직：마도사＋성직자)\n - 마법전사: 2명 (상급직：마도사＋전사)\n - 예언자　: 1명 (특별직：미래 예지가 가능)\n - 사령술사: 1명 (특별직：죽은 자의 혼을 인도함)\n - 조련사　: 1명 (특별직：맹수와 함께 싸움)"
KEY_VIEW_ITEM_START_2,"[center][b]추가 정보 2「파티 수와 랭크」[/b][/center]\n[br]등록된 파티는, [b][C_R]총 20팀[/C][/b]. \n - 탈퇴・직업 변경 없음. 중도 가입 있음. \n - 실격된 파티는 D랭크로 변경 완료. \n\n파티 랭크는 [b][C_R]S~D[/C][/b]로 배정되며, [br]B랭크 이상은 특별 대우를 받는다. \n - S: 1팀(특례：『[I_DAY____] 0950』에 성립)\n - A: 1팀\n - B: 4팀\n - C: 다른 랭크에 속하지 않는 모든 팀\n - D: 실격\n\n아래의 [C_R]어느 하나라도 충족[/C]하면, [br]해당 파티는[C_R]『D랭크(실격)』[/C]이 된다. \n - 리더 포함 [I_C_MEMB_] [b][C_R]전원이『사망』[/C][/b]. \n - [b][C_R]합계 5명 이상의『사망』[/C][/b] 발생. \n※10일 이상 던전에 들어간 채 돌아오지 않은 모험가도『사망』으로 간주한다."
KEY_VIEW_ITEM_START_3,"[center][b]추가 정보 3「길드 발행지」[/b][/center]\n[br]지금까지 길드는 [b][C_R]27건[/C][/b]의 기사를 발행했다. [br]([b][I_PARTYS_]가 15건[/b], [b][I_NEWS___]가 12건[/b])[br]\n과거 길드에서 발행한 기사 중에서, [br]기억을 더듬어 [b][C_R]기사 제목[/C][/b]을 기재한다. \n - [I_CELEB_1]\n - [I_19__100]\n - [I_16__100]\n - [I_14__100]\n - [I_12__100]\n - [I_07_DUMM] (XX:어떤 숫자?)\n - [I_04_DUMM] (XXX:어떤 숫자?)\n - [I_18_DUMM] (XXXX:어떤 숫자?)[br]\n신참인 나로서는 여기까지가 한계였다. [br]이것들이 총명한『[I_CLS_PLY]』님의 기억에 남아 있기를 바랄 뿐이다."
KEY_VIEW_ITEM_START_4,"[center][b]추가 정보 4「기타」[/b][/center]\n[br]길드는, [C_R]파티 결성・가입 시[/C]에 등록 신청이 필요하다. (리더는 최초 등록)\n - 파티명은 변경 불가. \n - [b][C_R]1인당 1개 파티만 가입 가능[/C][/b]. \n - 리더 포함 [I_C_MEMB_]는 [C_R]1~4명[/C]. [C_R]사망자는 제외[/C]. \n - D랭크(실격)가 된 파티는, 그 시점의 파티 구성이 최종 기록이 된다. [br]\n한 번 파티에 소속된 자는 [C_R][b]파티 탈퇴・변경이 불가능[/b][/C]하며, 그 효력은 [C_R][b]실격 이후에도 지속[/b][/C]된다. [br](다른 파티에 피해를 주지 않기 위한 조치)[br]\n더 많은 단서를 제공하고 싶었으나, 분실 사실을 길드에 들키지 않도록 조사하는 것이 어려워 더 이상은 움직이기 힘들다. [br]\n계속해서 검토를 부탁드린다."
KEY_VIEW_ITEM_RANK__1,"[center][b]B랭크 이상의 파티에 대하여[/b][/center]\n[br]파티의 랭크 변동이 적다는 점에 대해[br]일부 모험가들로부터 지적을 받았지만, [br]현 S~A랭크 양 파티에서도 지적이 있었다. [br]이에 따라, [C_R]본 건은 특별히『S랭크』[br]파티에 관련된 [I_NEWS___][/C]로 취급한다. [br]\n실제로 A~B랭크가 항상 만원 상태인[br]『[I_DAY____] 0467』이후, B랭크 이상 파티가[br]변동한 시점은 아래의 [b][C_R]3회[/C][/b]뿐이었다. [br](『[I_DAY____] 0950』은 특례이므로 제외)\n - [I_DAY____] 0499\n - [I_DAY____] 0720\n - [I_DAY____] 0969[br]\n돌이켜보면, [C_R][b]B랭크 이상 파티의 전멸[/b][/C]이 동반된 사건(자세한 내용은 해당 사건 발생일의 [I_NEWS___] 참조)을 제외하면, A~B랭크 변동이 없었다는 것을 알 수 있었다. [br]향후 제도 재검토도 긍정적으로 검토할 방침이다."
KEY_VIEW_ITEM_CELEB_1,"[center][b]『전야제』개최 안내[/b][/center]\n[br]『S랭크』파티와 관련된 [I_NEWS___]를 하나 더 전한다. [br]\n2대째 [I_BRAVE__]『[N_AKIRA__]』가 이끄는 파티 [b]『[N_AKIRA__]와 유쾌한 동료들』[/b]이, 이 세상에서 가장 흉악하다고 알려진 던전 『[N_PAKIRA_] 던전』에 도전하겠다고 선언했다. [br]이에 길드는 그들에게 경의를 표해, [br]『[I_DAY____] 1005』에 [b]전야제[/b]를 개최할 예정이다. [br]\n참가를 권유한 결과, 기쁘게도[C_R][b] 모든 C랭크 이상 모험가[/b][/C]──즉, \n - S랭크: 4명(1팀)\n - A랭크: 2명(1팀)\n - B랭크:13명(4팀)\n - C랭크:11명(8팀)\n의 [b]총 30명[/b] 중, 의식불명 1명을 제외한[br]총 29명(※)이 참가해 주기로 했다.[br]※ 1명은 투옥 중이지만, 특례로 참가를 허가했다."
KEY_VIEW_ITEM_CELEB_2,"[center][b]『[I_DAY____] 1000』을 돌아보며[/b][/center]\n[br]되돌아보면, 다양한 모험가와 파티에 지탱되어 왔음을 실감합니다. [br]\n그중에서도 의외였던 점은, [b]본 길드가 제1회 [I_NEWS___](DAY 0001)에서 권장했던 파티 구성을 아무도 따라 하지 않았다는[/b] 점입니다. [br]정말로 좋은 의미로 예상을 빗나가며, [br]기대 이상의 활약에 저도 모르게 가슴이 뛰었습니다. [br]\n하지만 모험도 목숨이 붙어 있어야 가능합니다. [br]가까운 시일 내에 랭크 제도 재검토를 검토 중이라고 [I_NEWS___]에서 전한 뒤라 불안할 수도 있겠지만, 무엇보다 목숨을 우선으로 생각해 주시면 감사하겠습니다. \n([C_R]최근 14일은『사망』0명[/C]인 듯하지만……)[br]\n다시 한번 전야제 참가에 감사드립니다. [br]앞으로도 변함없는 성원과 협조를 부탁드립니다."
KEY_VIEW_ITEM_07_1001,"3명의 모험가가 단상에 오른다.[br][C_IS]아─…… 크흠. 오늘은 바쁘신 와중에──[/C][br][C_IR]그 녀석은?[/C][br][C_IS]예? ……앗, 혹시 같은 날에[br]인터뷰를 받을 예정이었던 분 말씀인가요?[br]「오늘은 급한 일이 생겼다」는 연락이 와서, 나중에──[/C][br][C_IR]그렇군. 방해했군. 돌아가자.[/C]"
KEY_VIEW_ITEM_07_1002,"[br][C_IS]에!? 앗, 잠깐만 기다려 주세요!![/C][br][C_IR]미안하지만, 우린 던전 공략으로 바쁘거든.[br]그 녀석이 따라잡지 못할 정도로 강해지지 않으면……![/C][br][C_IS]아니 아니, 그분은 아직 C랭크고,[br][N_FENNEL_]씨는 벌써 B랭크잖아요![/C]"
KEY_VIEW_ITEM_07_1003,"[br]\n[C_IR]『지금은』 말이지. 그 녀석은 B랭크로 올라온다.[br]아마 다음 인터뷰 때는 우리와 같은 B랭크가 되어 있을 게 분명해.[/C][br][C_IS]인터뷰는 [C_R]5일 뒤[/C]입니다만……[br]정말 신뢰하시네요. 라이벌 관계인가요?[/C][br][C_IR][b]아니거든!!![/b] 그 녀석은 말이야, 우리를[br][b]아아아아아아아아주 철저하게 싫어한다고!!![/b][/C]"
KEY_VIEW_ITEM_07_1004,"[br][C_IS]……저기…… 조금, 말씀하시는 의미를 모르겠어서…….[/C][br][C_IR]그 녀석이 빈둥거리고 있는 동안,[br]아무리 노력을 쌓아서 정상을 목표로 해도,[br]정신을 차려보면 어느새 옆에 서 있단 말이야![br]기사단 테스트에서 1등을 했다 싶으면,[br]나중에 그 녀석도 똑같은 점수를 받아 온다고![br]\n[C_IR]결정타는, [C_R]체력 테스트 결과가 0.1초 단위까지[br]똑같다[/C]는 거야! 정말 이해가 안 가!!![/C]"
KEY_VIEW_ITEM_07_1005,"[br][C_IS]0.1초요!? 대단하긴 하지만 그건……[br]……이제 거의 괴롭힘 수준이네요.[/C][br][C_IR]그치!? 원래 이 [b]『호걸의 기사단』[/b]도,[br]기사 학교를 수석으로 졸업한 4명이서[br]같이 시작할 예정이었어![br]그런데 우리 [C_R]3명이 등록한 걸[/C] 보고 나서[br][C_R]제멋대로 혼자 파티 등록[/C]을 해버렸단 말이지……!![br]뭐가 [b]『고고한 광견』[/b]이야, 믿을 수가 없군!![/C][br][C_IS]아하하…… 뒤의 두 분도 고개를 끄덕이고 계시네요.[/C]"
KEY_VIEW_ITEM_07_1006,"[br]\n[C_IR]오늘이야말로 한마디 해주고 싶었지만……[br]아쉽게도 5일 뒤에는 내 일정이 안 맞아.[br]……젠장, 항상 이렇다니까…… (중얼중얼).[/C][br][C_IS]그 정도면 직접 만나서 이야기하는 것도…….[/C][br][C_IR]못 해. 전혀 못 만난다고.[br]내가 대체 뭘 어쨌다는 거야…….[/C]"
KEY_VIEW_ITEM_07_1007,"[br][C_IS]하아………….[/C][br][C_IR]……그래서, 뭐였지? 인터뷰?[/C][br][C_IS]아뇨, 왠지 이제 저도 충분한 느낌이가 들어서……[br]아, 그럼 마지막으로 하나만 물어봐도 될까요?[/C][br][C_IR]그래, 그거 끝나면 돌아간다.[/C]"
KEY_VIEW_ITEM_07_1008,"[br][C_IS]계속 세 분이서 여행하시는 것 같은데,[br]그분은 [C_R]다른 파티 소속이라 들어올 수 없잖아요[/C]?[br]그럼 4번째 멤버를 들일 예정은 없으신가요?[br]예를 들어 사냥꾼이나 성직자가 있는 편이…….[/C][br][C_IR]왜 내가 그 녀석을 위해 4번째 자리를 비워두고 있다는 전제로 얘기하는 거지?[br]……미안하지만 아직 4번째 멤버를 고용할 생각은 없어.[br]그 녀석이 없어도 우리 3명은 한솥밥을 먹으며 유대로 이어진 [b]『호걸의 기사단』[/b]이니까.[br]치료도 약초면 충분해.[/C]"
KEY_VIEW_ITEM_07_1009,"[br][C_IS]그렇군요…….[/C][br][C_IR]하지만 그렇네. 기사 학교 밥이 맛있었어서 그런지[br]던전에서 우리가 만드는 밥은 정말 맛이 없거든.[br]그러니까 [C_R]요리를 잘하는 녀석[/C]이 있어 준다면,[br]4번째 동료로 고려해 볼지도 모르겠어.[/C][br][C_IS]아─…… 좋네요. 지금으로서는 아직[br][b][C_R]그런 직종인 분은 없으니까요[/C][/b].[/C]"
KEY_VIEW_ITEM_07_100A,"[br]\n[C_IR]그치? 좋은 아이디어라고 생각한다니까![br]분명 이건 [b]내가 처음으로 생각해서[br]도입하기로…………………………………[/b]……[br]……………………………………………………. [/C][br][C_IS]……왜 그러세요?[/C]"
KEY_VIEW_ITEM_07_100B,"[br]\n[C_IR]미안. 왠지 모르겠는데,[br]갑자기 [b]『오한』[/b]이 느껴져. 오늘은 이만 갈게.[/C][br][C_IS]앗, 네! 오늘은 감사했습니다![br]그리고…… 좋은 여행 되시길![/C][br][C_IR]하핫, 뭐야 그 포즈는.[br]「좋은 여행」을…… 이라고.[/C][br]"
KEY_VIEW_ITEM_07_DIE1,"[center][b]정예 『호걸의 기사단』, 식중독으로 반파!?[/b][/center]\n[br]A랭크 파티용으로 준비된 별장에서,[br]길드 내를 뒤흔든 비참한 [C_R][b]사망 사고[/b][/C]가 발생했다.[br]무려 본 파티를 결성 때부터 지탱해 온[br]베테랑 모험가 2명이 별장에서 사망하고,[br][C_R]요리사 1명[/C]도 의식불명의 중태에 빠진 것이다.[br]\n이날은 새로 부임한 신입의 환영회를[br]예정하고 있었으나, 정작 신입은 [b]요리사 여성으로부터 잘못된 장소를 안내받아[/b] 우연히 도착이 늦어진 덕분에 무사했다고 한다.[br]\n도착한 소녀는 아직 숨이 붙어있던 요리사 여성에게 특기인 치유 마법을 베풀어 목숨을 구했으나, 아직 의식은 돌아오지 않았다고 한다.[br]\n신입 이외의 파티 전원이 요리사가 만든 음식을 먹었기에 길드는 사고 원인을 식중독으로 추정하고 있다."
KEY_VIEW_ITEM_08_1001,"1명의 모험가가 소녀를 안고 단상에 오른다.[br][C_IS]…….[/C][br][C_IR]………….[/C][br]（착석과 동시에 리더의 무릎 위에 소녀가 앉는다）[br][C_IS]저기…… 오늘은 감사했습니다.[br]먼저 [b][C_R]B랭크 승격[/C][/b], 축하드립니다.[/C][br][C_IR]영광이다. [/C]"
KEY_VIEW_ITEM_08_1002,"[br][C_IS]저기…… 그 아이는요?[/C][br][C_IR]일을 하던 중에 동료로 삼았다. 우연이다.[/C][br][C_IS]그렇군요…… 저기, 제가 몸이 안 좋아서[br]아직 그 아이의 정보를 확인하지 못했거든요.[br]무례를 무릅쓰고 여쭤봐도 될까요?[/C][br][C_IR]상관없다. 당연하다.[/C]"
KEY_VIEW_ITEM_08_1003,"[br][C_IS]그 아이의 직업은……?[/C][br][C_IR][b][C_R]『요리사』[/C][/b]다.[/C][br][C_IS][b]무서워무서워무서워무서워무서워무서워무서워무서워무서워무서워무서워[/b][/C][br][C_IR]우연이다.[/C]"
KEY_VIEW_ITEM_08_1004,"[br][C_IS]아무 말도 안 했어요!! 아직 아무 말도 안 했다고요!?[/C][br][C_IR]일반적인 요리사 복장을 구해서 입혔는데,[br]길드에는 전례가 없는 직종이라서 절차와 등록에 꼬박 하루가 걸렸다. 당연하다.[/C][br][C_IS]그거 [b]『[I_DAY____] 0412』에는 이미 절차를[br]시작하고 있었다는 뜻이잖아요!!!?[/b][/C][br][C_IR]우연이다.[/C]"
KEY_VIEW_ITEM_08_1005,"[br][C_IS]저기, 꼬마야! 정말 괜찮니!?[br]억지로 납치당하거나 그런 거 아니야!?[/C][br]（무릎 위의 소녀가[b]「응!」[/b]하며 활기차게 고개를 끄덕인다）[C_IS]당한 거야!????[/C][br][C_IR]내 이야기가 아니다. 우연이다.[/C][C_IS]잠깐, 제대로 설명해 주세요![br]가능하면 그 말투도 좀 고쳐주셨으면……![/C]"
KEY_VIEW_ITEM_08_1006,"[br]\n[C_IR]알겠다. 6일 전, 장을 보던 중에 수상한 기운을 풍기는 인물을 발견했다. 즉시 길드에 전언을 보내고 이틀 정도 미행을 하다가, 구속된 일반인을[br]운반하는 현장을 발견해 독단으로 구출했다.[br]하지만 이 아이만은 부모가 없는 고아라[br]갈 곳이 없어서 나를 따라왔다. 이상이다.[/C][br]\n（무릎 위의 소녀가 양손으로 브이 표시를 한다）[br]\n[C_IR]길드에 사후 보고를 했더니 B랭크가 되었다.[/C]"
KEY_VIEW_ITEM_08_1007,"[br][C_IS]죄송했습니다…… 그런데 왜 길드에?[/C][br][C_IR]길드에 등록된 파티는 같은 숙박 시설 내에[br]방을 배정받는다. 안전하다.[/C][br][C_IS]………… 그것뿐인가요?[/C][br][C_IR]당연하다. 규칙이 있으니 던전에는 데려가겠지만, 전투는 나 혼자서 충분하다.[/C]"
KEY_VIEW_ITEM_08_1008,"[br][C_IS]……그럼 『요리사』라는 건요?[/C][br][C_IR]특기를 물었더니 『요리』라고 답했다.[br]비슷한 옷을 입혀서 길드에 데려갔더니[br]알아서 처리해 주더군. 만전이다.[/C][br][C_IS]……………….[/C][br][C_IR]특히 산나물 요리가 일품이었다. 천연이다.[/C]"
KEY_VIEW_ITEM_08_1009,"[br][C_IS][b]『호걸의 기사단』[/b]의 [I_PARTYS_], 보셨나요?[/C][br][C_IR]당연하다. [b][C_R]방금[/C][/b] 길드 벽보를 확인했다.[br]나 역시 그에게 뒤처지지 않도록 매일 정진하겠다.[/C][br][C_IS]…………설마 『요리사』를 동료로 삼은 것도,[br]며칠 만에 B랭크까지 승격한 것도……?[/C]"
KEY_VIEW_ITEM_08_100A,"[br]\n[C_IR][b]우연[/b]이다.[/C][br][C_IS]말도 안 돼!? ……그럼 왜[br][b]『호걸의 기사단』[/b]에 가입하지 않은 건가요?[/C][br][C_IR]…… 저 파티에는 이미 [C_R]전사가 2명[/C] 있었다.[br]내가 들어가서 3명이 되면 밸런스가 나빠져[br]생존율이 떨어진다고 판단해 스스로 사양했다.[br]길드 가입 절차는 거의 끝난 상태였기에[br]솔로로 활동하기로 했다.[/C]"
KEY_VIEW_ITEM_08_100B,"[br][C_IS]……………… 저기…….[/C][br][C_IR]뭐지?[/C][br][C_IS]당신이 그를 싫어한다는 건요?[/C][br][C_IR]오해다. 나는 [N_FENNEL_]을 호의적으로 보고 있다.[/C]"
KEY_VIEW_ITEM_08_100C,"[br][C_IS]……말씀하시는 게 좋을 거예요.[/C][br][C_IR]몇 번이고 말하려 했다. 하지만[br]왠지 항상 시간이 맞지 않더군.[br]……나의 진심은 이 기사로 전달될 것이다.[/C][br][C_IS]그렇군요…… 도움이 될 수 있어 다행입니다.[br]저, [N_KILLING] 씨를 오해하고 있었어요![/C]"
KEY_VIEW_ITEM_08_100D,"[br]\n[C_IR]훗…… 그럼 나는 이만…….[/C][br][C_IS]네! 좋은 여행 되시길![/C][br][C_IR]좋은 여행 되길.[/C][br]\n（기록자 여담）：[br][N_TOPY___] 씨는 납득한 모양이지만……[br]체력 테스트 결과가 신경 쓰여서 참을 수가 없다.[br]이 글을 읽은 [b]『호걸의 기사단』[/b]의 리더도[br]납득해 주면 좋으련만……."
KEY_VIEW_ITEM_18_1001,"2명의 모험가가 단상에 오른다.[br][C_IS]오늘은 인터뷰에 응해 주셔서 감사합니다.[br]그리고B랭크 승격을 축하드립니다![/C][br][C_IR]안녕. 뭐, 금방 A랭크로 올라갈 테니까[br]지금 미리 사인이라도 받아 두라고.[br]참, 뒤에 있는 [C_R]『치짱』[/C] 사인도 필요해?[/C][br][C_IS]하하…… B랭크 분들은[br]하나같이 자신감이 넘치시네요. 본받고 싶습니다.[/C]"
